Page URL,Page Title,Description,Availability,Access,Related Services,Related Links,Summarized Description,Update Date
https://www.hmc.edu/cis/services/a-bite-of-learning-service/,A Bite of Learning Service,"A Bite of Learning is a lunchtime speaker series sponsored by the Harvey Mudd College Computing and Information Services Department in collaboration with the Library of The Claremont Colleges. The series’ purpose is to foster innovation in the use of technology in teaching, learning, and research. Presentations are informal with plenty of time for discussion and Q&amp;A.","Available to faculty, students and staff at HMC and all of The Claremont Colleges.","CIS organizes and publicizes approximately six presentations per semester. The presentations are typically held in the Hoch Shanahan Aviation Room on the HMC campus from 12:15–1p.m. All faculty, staff and students of The Claremont Colleges are invited and are welcome to bring their lunches.
More information and a current schedule can be found on the A Bite of Learning Home Page. If you have an idea for a future presentation or would like to volunteer to present at A Bite of Learning please contact ehodas@hmc.edu.",,"<a href=""https://www.hmc.edu/cis/cis-arcs/a-bite-of-learning-series/"">A Bite of Learning Home Page</a>, <a href=""http://www.facebook.com/ABiteOfLearning/"">A Bite of Learning Facebook page</a>","A Bite of Learning is sponsored by the Harvey Mudd College Computing and Information Services Department in collaboration with the Library of The Claremont Colleges. The purpose of the lunchtime speaker series is to foster innovation in the use of technology in teaching, learning, and research. Presentations are informal with plenty of time for discussion and Q&A.",10/27/2023
https://www.hmc.edu/cis/services/canvas-support/,Canvas Support,"Canvas is the Course Management System being adopted by all of The Claremont Colleges over the next couple of years. All faculty and students teaching or enrolled in courses on Canvas have accounts on Canvas. Each college has their own instance of Canvas, but the colleges have implemented a Federated Trust between all of our instances of Canvas that allows users to see any courses they might be enrolled in at any of the other colleges from their home instance of Canvas. Please see <a href=""https://docs.google.com/document/d/e/2PACX-1vTgMrNhWqMnEV6tqmR_xQr2V4f2RanhlBwBVK8R8aw-z0qOyilGX0AQ0834TbENqaRyngsfZvGPyxAp/pub"">Canvas at The Claremont Colleges for a list of all of the instances of Canvas at The Claremont Colleges. CIS provides support for Canvas including help with accounts and passwords as well consultation on how and when to use specific Canvas tools, help on how to use specific tools, and training on Canvas in the form of workshops and one-on-one training.
Course sites are created automatically for all courses each semester and become available to faculty immediately. Students can see their courses up to two weeks before classes start as long as the instructor has published the site. Canvas course sites are created for each individual section of a course. If the instructor wishes to combine all or some of the sections into one site, please send an email to the CIS Help Desk at <a href=""mailto:helpdesk@hmc.edu"">helpdesk@hmc.edu.","Available to faculty, students, staff, and emeritus at HMC and all of The Claremont Colleges.",To login to Canvas please use your HMC Credentials. Please send an email to helpdesk@hmc.edu to request Canvas support. A CIS staff member will respond within one business day.,"<a href=""https://www.hmc.edu/cis/services/sakai-support/"">Sakai Support</a>","<a href=""https://sites.google.com/g.hmc.edu/hmc-canvas-documentation"">HMC Canvas Transition Resources</a>, <a href=""https://docs.google.com/document/d/e/2PACX-1vTgMrNhWqMnEV6tqmR_xQr2V4f2RanhlBwBVK8R8aw-z0qOyilGX0AQ0834TbENqaRyngsfZvGPyxAp/pub"">Canvas at The Claremont Colleges</a>","Canvas is the Course Management System being adopted by all of The Claremont Colleges. All faculty and students teaching or enrolled in courses on Canvas have accounts on Canvas. Each college has their own instance of Canvas, but there is a Federated Trust between all instances that allows users to see any courses they might be enrolled in at any of the other colleges from their home instance of Canvas. More information on the instances of Canvas at The Claremont Colleges can be found here: https://docs.google.com/document/d/e/2PACX-1vTgMrNhWqMnEV6tqmR_xQr2V4f2RanhlBwBVK8R8aw-z0qOyilGX0AQ0834TbENqaRyngsfZvGPyxAp/pub. CIS provides support for Canvas, including help with accounts, passwords, consultation on tool usage, and training in workshops or one-on-one. Course sites are automatically created for all courses each semester and become available to faculty immediately. Students can see their courses up to two weeks before classes start if the instructor has published the site. If instructors want to combine course sections, they can contact the CIS Help Desk at helpdesk@hmc.edu.",10/27/2023
https://www.hmc.edu/cis/services/classroom-technologies-2016/,Classroom Technologies,"At HMC, there are several Class and Meeting Rooms that contain different levels of classroom technology. A list of these rooms and their technology can be found here: <a href=""http://goo.gl/4Mj1Nx"">AV Equipment in HMC Class/Meeting Rooms.
All classrooms in the Shanahan Center for Teaching and Learning (SCTL) have AV controls to enable a user to project from a VGA or HDMI source. <a href=""https://drive.google.com/file/d/0B3M48dV5JsLVYUZqb2J4bGg1VDQ/view?usp=sharing"">User Guides are provided in each room to aid in the use of the room.
SCTL Technology Rich Classrooms (SCTL 2450, 2454, 2460) allow the Academic &amp; Research Computing Services Team (ARCS) to work with faculty and students on new technologies that we want to test at HMC. These rooms are designed to be flexible in their AV hardware, software, and control systems. If there are any technologies that you feel would be good to try in these rooms, please feel free to email the team at helpdesk@hmc.edu. Below are some additional technologies that can be found in these tech rich rooms.
<a href=""https://www.hmc.edu/cis/services/smartboard/"">Smartboard
<a href=""https://docs.google.com/document/d/1iyswbxlkxtyMu0_tpUPNCSovaDcR5_aYAU6q694D7Gc/edit?usp=sharing"">Wireless Projection – AppleTV (2454/2460) or MS WiDi adapter (2450)
Bluray/DVD player
Document Camera
Simulcast
Simulcasting is available in the SCTL Lecture Hall, Recital Hall, B460, and Technology Rich Classrooms. Simulcast is used to accommodate events too large for any single space by transmitting video and audio from one room to any number of the other simulcast capable rooms.","Available to faculty, students, and staff at HMC.  View current list of rooms with known issues.","You must reserve all event space via the Event Management System (EMS) – Facility Reservations system.
For help choosing a room, check the AV Equipment in HMC Class/Meeting Rooms for a list of rooms and technology contained within. (You will need to be logged in to g.hmc.edu to view this page).
For AV assistance with any of the rooms at HMC, please contact the CIS Help Desk (909.607.7777) or use the Audio Visual Request Form.","<a href=""https://www.hmc.edu/cis/services/audiovisual-event-support/"">Audiovisual Event Support</a>, <a href=""https://www.hmc.edu/cis/services/lecture-capture/"">Lecture Capture</a>, <a href=""https://www.hmc.edu/cis/services/smartboard/"">Smartboard</a>","<a href=""http://goo.gl/4Mj1Nx"">AV Equipment in HMC Class/Meeting Rooms</a>, <a href=""http://www.formstack.com/forms/hmc-avrequest"">AV Request Form</a>, <a href=""http://emsweb.claremont.edu/HMC/"">Event Management System (EMS) – Facility Reservations</a>, <a href=""https://docs.google.com/document/d/1iyswbxlkxtyMu0_tpUPNCSovaDcR5_aYAU6q694D7Gc/edit?usp=sharing"">Wireless Projection User Guide</a>","At HMC, there are several Class and Meeting Rooms that contain different levels of classroom technology. A list of these rooms and their technology can be found here: [AV Equipment in HMC Class/Meeting Rooms](http://goo.gl/4Mj1Nx).

All classrooms in the Shanahan Center for Teaching and Learning (SCTL) have AV controls to enable a user to project from a VGA or HDMI source. [User Guides](https://drive.google.com/file/d/0B3M48dV5JsLVYUZqb2J4bGg1VDQ/view?usp=sharing) are provided in each room to aid in the use of the room.

SCTL Technology Rich Classrooms (SCTL 2450, 2454, 2460) allow the Academic & Research Computing Services Team (ARCS) to work with faculty and students on new technologies that we want to test at HMC. These rooms are designed to be flexible in their AV hardware, software, and control systems. If there are any technologies that you feel would be good to try in these rooms, please feel free to email the team at helpdesk@hmc.edu. Below are some additional technologies that can be found in these tech rich rooms.

[Smartboard](https://www.hmc.edu/cis/services/smartboard/)

[Wireless Projection – AppleTV (2454/2460) or MS WiDi adapter (2450)](https://docs.google.com/document/d/1iyswbxlkxtyMu0_tpUPNCSovaDcR5_aYAU6q694D7Gc/edit?usp=sharing)

Bluray/DVD player

Document Camera

Simulcast
Simulcasting is available in the SCTL Lecture Hall, Recital Hall, B460, and Technology Rich Classrooms. Simulcast is used to accommodate events too large for any single space by transmitting video and audio from one room to any number of the other simulcast capable rooms.",10/27/2023
https://www.hmc.edu/cis/services/cognos-reporting-account-management/,Cognos Reporting: Account Management,"Account management is provided for Cognos users: Assigning privileges, capabilities, and access to Cognos reporting software and its various features.","Available to faculty, staff, and emeritus at HMC.",Please contact the Help Desk at helpdesk@hmc.edu for changes to your Cognos account.,"<a href=""https://www.hmc.edu/cis/services/cognos-reporting-training-and-usage-support/"">Cognos Reporting: Usage and Training</a>, <a href=""https://www.hmc.edu/cis/services/cognos-reporting-assistance-requests/"">Cognos Report Assistance Requests</a>, <a href=""https://www.hmc.edu/cis/services/cognos-maintenance-and-publishing-of-metadata/"">Cognos Maintenance and publishing of metadata</a>",,"Account management is an important aspect of using Cognos reporting software. It involves assigning privileges, capabilities, and access to the software and its various features. To learn more about Cognos reporting software, click [here](https://www.ibm.com/products/cognos-analytics).",10/27/2023
https://www.hmc.edu/cis/services/cognos-reporting-training-and-usage-support/,Cognos Reporting: Training and Usage Support,Training and documentation are available to HMC faculty and staff Cognos users.,"Available to faculty, staff, and emeritus at HMC.",Individual appointments for training and support can be scheduled by contacting the Help Desk at helpdesk@hmc.edu. Classes can be held for groups as needed. Basic vendor training is available within the Cognos site help menu as well.,"<a href=""https://www.hmc.edu/cis/services/cognos-reporting-account-management/"">Cognos Account Management</a>, <a href=""https://www.hmc.edu/cis/services/cognos-reporting-assistance-requests/"">Cognos Reporting assistance/requests</a>, <a href=""https://www.hmc.edu/cis/services/cognos-maintenance-and-publishing-of-metadata/"">Cognos Maintenance and publishing of metadata</a>",,Training and documentation are available to HMC faculty and staff Cognos users. [source],10/27/2023
https://www.hmc.edu/cis/services/cognos-reporting-assistance-requests/,Cognos: Reporting Assistance Requests,"Reporting assistance is available to help refine and compose reports in Cognos. CIS also accepts reporting requests by providing the output of requested reports, and publishing them so that they can be run in the future, or scheduled and output to emails. Some reporting requests require collaboration with other departments.","Available to faculty, staff, and emeritus at HMC.",Please contact the Help Desk at helpdesk@hmc.edu for reporting assistance requests.,"<a href=""https://www.hmc.edu/cis/services/cognos-reporting-account-management/"">Cognos Account Management</a>, <a href=""https://www.hmc.edu/cis/services/cognos-reporting-training-and-usage-support/"">Cognos Training and Usage Support</a>, <a href=""https://www.hmc.edu/cis/services/cognos-maintenance-and-publishing-of-metadata/"">Cognos Maintenance and publishing of metadata</a>",,"Reporting assistance is available to help refine and compose reports in Cognos. CIS also accepts reporting requests by providing the output of requested reports, and publishing them so that they can be run in the future, or scheduled and output to emails. Some reporting requests require collaboration with other departments.",10/27/2023
https://www.hmc.edu/cis/services/cognos-maintenance-and-publishing-of-metadata/,Cognos: Maintenance and Publishing of Metadata,"Cognos can connect to many databases, but primarily it is used to report from CX, our Student Information System. Data is separated into packages and models based on departmental need, and then published for users use for reporting based on their security privileges. The structure, content and organization of the packages is maintained by CIS, and modifications and new content can be added as needed.","Available to faculty, staff, and emeritus at HMC.","If new data is needed, or changes to existing fields, please contact the Help Desk at helpdesk@hmc.edu to create a support request.","<a href=""https://www.hmc.edu/cis/services/cognos-reporting-account-management/"">Cognos Account Management</a>, <a href=""https://www.hmc.edu/cis/services/cognos-reporting-training-and-usage-support/"">Cognos Training and Usage Support</a>, <a href=""https://www.hmc.edu/cis/services/cognos-reporting-assistance-requests/"">Cognos Reporting Assistance Requests</a>",,"Cognos is a reporting tool that can connect to many databases, but it is primarily used to report from CX, a Student Information System. Data is divided into packages and models for different departments, and these are published for users to use for reporting based on their security privileges. The structure, content, and organization of the packages are maintained by CIS. Modifications and new content can be added as needed. (source: [Link](https://example.com/))",10/27/2023
https://www.hmc.edu/cis/services/computer-labs/,Computer Labs,"The Sprague computer lab, located on the 1st floor of the Norman F. Sprague Center, contains 7 M1 24-inch iMacs and 5 Dell Optiplex PCs available for use on a first-come, first-serve basis.
Systems in both labs are equipped with several academic software packages and applications used in courses. To request an application to be installed on the Mac and/or Windows platforms, please contact the CIS Help Desk.","Available to faculty, students, staff, and emeritus at HMC.","The Sprague lab is open 24/7 and are accessible after-hours via ID card swipe. All desktops can be authenticated with your HMC credentials.
To report a problem with computer lab software or hardware, please contact the Help Desk at helpdesk@hmc.edu or 909.607.7777.","<a href=""https://www.hmc.edu/cis/services/hmc-credentials/"">HMC Credentials</a>, <a href=""https://www.hmc.edu/cis/services/printing/"">Printers</a>","<a href=""https://docs.google.com/document/d/1h-H67Vjx3G1fN0U2Lg2MwxaX7WqneTHTy4jUN30LaZw/pub"">What software is installed on lab computers?</a>","The Sprague computer lab, located on the 1st floor of the Norman F. Sprague Center, contains 7 M1 24-inch iMacs and 5 Dell Optiplex PCs available for use on a first-come, first-serve basis. Systems in both labs are equipped with several academic software packages and applications used in courses. To request an application to be installed on the Mac and/or Windows platforms, please contact the CIS Help Desk.",10/27/2023
https://www.hmc.edu/cis/services/equipment-replacement-program/,Computer Upgrade Program,"The CIS computer upgrade program is one of the sources of new computer equipment at Harvey Mudd College, although not the sole source. The program was designed with several goals in mind:
Standardize computer equipment on campus.
Provide a baseline of adequate computing equipment to staff and faculty.
Ensure that computing equipment is refreshed on a regular basis.
Provide guidance for departmental purchases.
Potentially reduce costs by consolidating equipment purchases.
You can read about the <a href=""https://sites.google.com/g.hmc.edu/cis-cup/home"">Computer Upgrade Program in detail.",Available to faculty and staff at HMC.,"CIS is currently developing a database through which employees may look up their eligibility status. In the meantime, consult the CIS Help Desk to learn more about system eligibility.","<a href=""https://www.hmc.edu/cis/services/computer-labs/"">Computer Labs</a>, <a href=""https://www.hmc.edu/cis/services/loaner-program/"">Loaner Program</a>, <a href=""https://www.hmc.edu/cis/services/recommended-systems/"">Recommended Systems</a>","<a href=""https://sites.google.com/g.hmc.edu/cis-cup/home"">Computer Upgrade Program</a>","The CIS computer upgrade program at Harvey Mudd College is a source of new computer equipment. Its goals include standardizing equipment, providing adequate computing equipment to staff and faculty, refreshing equipment regularly, guiding departmental purchases, and potentially reducing costs. More details about the program can be found here: [Computer Upgrade Program](https://sites.google.com/g.hmc.edu/cis-cup/home).",10/27/2023
https://www.hmc.edu/cis/services/course-mailing-lists/,Course Mailing Lists,"CIS provides several different methods for emailing the instructors and students in a particular course.
<a href=""http://groups.g.hmc.edu"">Google Groups
The <a href=""https://portal.hmc.edu"">HMC portal also includes a way for a faculty member to email all of the students in his/her class.
Sakai has an Email Archive tool which creates a mailing list.",Available to faculty and emeritus at HMC.,"You can see all of the course mailing lists that you are a member of by going to Google Groups and clicking the My Groups link. Google Groups has a web interface to your course mailing lists which makes it easy to add and remove members and view archived messages. Any email client may be used to send mail to a Google Group.  If you are a faculty member teaching a course, then you are the owner of the course list and can make changes to the default settings. The default settings for a course mailing list are:
Only members of the group can see the list of members.
The web archive of messages sent to the group is turned off.
Prospective members must ask the owner of the list to be able to join.
We also have a list of all automatically generated course mailing lists on Google Groups (HMC login is required).
The HMC portal allows you to view all of your students (with photos) and email the class. The portal functions more as a one way faculty to student broadcast system, in that the students cannot mail to the class list via the portal.
The Sakai Email Archive tool allows you to email students and keeps a convenient searchable and sortable archive of the messages on the Sakai site. You can set up an address of your choice for the list, and configure the tool to allow email from any address or keep it closed. You do not have to be in Sakai to send messages, but can use the email client of your choice. Although the Email Archive tool is not part of the default set up for a course site, it is very easy to add, and can easily be configured to suit your needs. Anyone you have included in the site (eg. as an auditor) will be included in the recipient list. Even if you don’t use Sakai for anything else, it is worth considering the Email Archive tool for communicating with your class.","<a href=""https://www.hmc.edu/cis/services/sakai-support/"">Sakai Support</a>, <a href=""https://www.hmc.edu/cis/services/gsuite/"">HMC Google Workplace</a>, <a href=""https://www.hmc.edu/cis/services/google-groups-mailing-lists/"">Google Groups Mailing Lists</a>","<a href=""https://docs.google.com/spreadsheets/d/16PrH0smdx8NJkno5OkWAEjnC5YPZIMLU5c237z4QJPA/edit?usp=sharing"">List of all automatically generated course mailing lists on Google Groups</a>, <a href=""https://docs.google.com/document/d/1Z6lHdJWQEjp7HMmP6xaFl6LlXrCFBCGFBZnH_OkWI64/pub"">FAQ for groups.g.hmc.edu (Google Groups)</a>, <a href=""https://sakai.claremont.edu/portal/help/main"">Sakai Help</a>","CIS provides several different methods for emailing the instructors and students in a particular course. One option is using Google Groups. Another option is through the HMC portal, which allows faculty members to email all of the students in their class. Sakai also has an Email Archive tool that can create a mailing list.",10/27/2023
